Episódio,Iteração,Ação Reviewer,Descrição da ação,Recompensa
0,1,1,execute_and_score_code,0
0,2,0,create_report,112
0,3,1,execute_and_score_code,109
0,4,0,create_report,106
0,5,0,create_report,103
0,6,2,review_code,100
0,7,0,create_report,97
0,8,0,create_report,94
0,9,2,review_code,91
0,10,1,execute_and_score_code,88
0,11,1,execute_and_score_code,85
0,12,0,create_report,52
0,13,0,create_report,16
0,14,2,review_code,76
0,15,0,create_report,34
0,16,0,create_report,-11
0,17,0,create_report,-59
0,18,2,review_code,64
0,19,0,create_report,10
0,20,0,create_report,-47
0,21,0,create_report,-107
0,22,3,static_analysis,52
0,23,0,create_report,-14
0,24,0,create_report,-83
0,25,0,create_report,-155
0,26,0,create_report,-230
0,27,0,create_report,-308
0,28,2,review_code,34
0,29,2,review_code,31
0,30,2,review_code,28
0,31,3,static_analysis,25
0,32,2,review_code,22
0,33,2,review_code,19
0,34,2,review_code,16
0,35,2,review_code,13
0,36,0,create_report,-92
0,37,3,static_analysis,7
0,38,2,review_code,4
0,39,2,review_code,1
0,40,2,review_code,-2
0,41,2,review_code,-5
0,42,2,review_code,-8
0,43,2,review_code,-11
0,44,2,review_code,-14
0,45,2,review_code,-17
0,46,2,review_code,-20
0,47,2,review_code,-23
0,48,0,create_report,-164
0,49,2,review_code,-29
0,50,2,review_code,-32
1,1,0,create_report,113
1,2,2,review_code,110
1,3,2,review_code,107
1,4,2,review_code,104
1,5,2,review_code,101
1,6,2,review_code,98
1,7,2,review_code,95
1,8,2,review_code,92
1,9,2,review_code,89
1,10,2,review_code,86
1,11,2,review_code,83
1,12,2,review_code,80
1,13,2,review_code,77
1,14,2,review_code,74
1,15,2,review_code,71
1,16,2,review_code,68
1,17,2,review_code,65
1,18,2,review_code,62
1,19,2,review_code,59
1,20,2,review_code,56
1,21,2,review_code,53
1,22,2,review_code,50
1,23,2,review_code,47
1,24,2,review_code,44
1,25,2,review_code,41
1,26,2,review_code,38
1,27,3,static_analysis,35
1,28,2,review_code,32
1,29,2,review_code,29
1,30,2,review_code,26
1,31,2,review_code,23
1,32,1,execute_and_score_code,20
1,33,2,review_code,17
1,34,2,review_code,14
1,35,2,review_code,11
1,36,1,execute_and_score_code,8
1,37,2,review_code,5
1,38,2,review_code,2
1,39,2,review_code,-1
1,40,2,review_code,-4
1,41,3,static_analysis,-7
1,42,2,review_code,-10
1,43,2,review_code,-13
1,44,2,review_code,-16
1,45,2,review_code,-19
1,46,2,review_code,-22
1,47,2,review_code,-25
1,48,2,review_code,-28
1,49,2,review_code,-31
1,50,2,review_code,-34
2,1,2,review_code,0
2,2,2,review_code,-3
2,3,2,review_code,-6
2,4,1,execute_and_score_code,-9
2,5,2,review_code,-12
2,6,2,review_code,-15
2,7,2,review_code,-18
2,8,2,review_code,-21
2,9,2,review_code,-24
2,10,3,static_analysis,-27
2,11,2,review_code,-30
2,12,2,review_code,-33
2,13,2,review_code,-36
2,14,2,review_code,-39
2,15,1,execute_and_score_code,-42
2,16,2,review_code,-45
2,17,2,review_code,-48
2,18,2,review_code,-51
2,19,2,review_code,-54
2,20,3,static_analysis,-57
2,21,2,review_code,-60
2,22,1,execute_and_score_code,-63
2,23,1,execute_and_score_code,-66
2,24,3,static_analysis,-69
2,25,3,static_analysis,-72
2,26,2,review_code,-75
2,27,3,static_analysis,-78
2,28,3,static_analysis,-81
2,29,3,static_analysis,-84
2,30,3,static_analysis,-87
2,31,3,static_analysis,-90
2,32,0,create_report,-183
2,33,3,static_analysis,-96
2,34,1,execute_and_score_code,-99
2,35,2,review_code,-102
2,36,0,create_report,8
3,1,0,create_report,111
3,2,2,review_code,108
3,3,2,review_code,105
3,4,2,review_code,102
3,5,2,review_code,99
3,6,3,static_analysis,96
3,7,2,review_code,93
3,8,2,review_code,90
3,9,2,review_code,87
3,10,2,review_code,84
3,11,3,static_analysis,81
3,12,1,execute_and_score_code,78
3,13,2,review_code,75
3,14,2,review_code,72
3,15,2,review_code,69
3,16,2,review_code,66
3,17,2,review_code,63
3,18,2,review_code,60
3,19,2,review_code,57
3,20,2,review_code,54
3,21,2,review_code,51
3,22,2,review_code,48
3,23,2,review_code,45
3,24,2,review_code,42
3,25,2,review_code,39
3,26,2,review_code,36
3,27,2,review_code,33
3,28,0,create_report,30